순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
1,태극기 휘날리며,2004-02-05,15687180500,0.066,15687180500,2544911,2544911,115,22375,한국,한국,강제규필름,"(주)다자인소프트,(주)쇼박스",15세관람가,"전쟁,드라마",강제규,"장동건,원빈,이은주,공형진,조원희,이장욱,이영란,정희준,박유신,김효열,김효준,최재혁,이건우,박태원,배상철,김범주,한선랑,이동혁,한재민,지중현,김대영,민지혁,이호천,임동빈,김재중,박성희,임성택,정승진,이정훈,오명준,이기수,김용현,이주원,이환희,장민호,정호빈,박길수,박동빈,안길강,김해곤,권태원,최교식,조운,전승재"
2,내 머리 속의 지우개,2004-11-05,11919939500,0.05,11919939500,1885827,1885827,206,29532,한국,한국,(주)싸이더스,CJ ENM,12세관람가,멜로/로맨스,이재한,"정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식"
3,귀신이 산다,2004-09-17,11898748500,0.05,11898748500,1875936,1875936,174,27936,한국,한국,(주)시네마서비스,(주)시네마서비스,12세관람가,"코미디,공포(호러),판타지",김상진,"김응수,장서희,차승원,김서현,최기웅,유대현,김성미,태인호,임상란,장승현,김정우,김양진,이종화,박성웅,장항선,윤문식,오정세,황석정,윤제문,이도겸,이미은"
4,우리 형,2004-10-08,11090682500,0.046,11090682500,1778607,1778607,211,29282,한국,한국,(주)진인사필름,CJ ENM,15세관람가,드라마,안권태,"원빈,조성제,신하균,김해숙,김석,김정태,이보영,박인혜,김범기,이상직,조진웅,정호빈,김광규"
5,실미도,2003-12-24,9905232500,0.041,10923920500,1559134,1719165,51,13460,한국,한국,(주)시네마서비스,(주)시네마서비스,15세관람가,전쟁,강우석,"설경구,안성기,허준호,정재영,임원희,강성진,강신일,이도겸,엄태웅,김강우,이효정,석재승,김문희,신성호,최진,심정운,박진수,주경탁,백성기,김봉식,최명규,전병윤,유상섭,이성원,임경호,김진휘,윤효석,이경근,조민준,류제승"
6,바람의 파이터,2004-08-12,9158945500,0.038,9158945500,1442299,1442299,110,15895,한국,한국,아이비젼엔터테인먼트(주),영화사청어람(주),12세관람가,액션,양윤호,"양동근,히라야마 아야,허명행,정두홍,송혁재,주경탁,김대우,김규현,이호식,김순재,김영주,양길영,이경원,정태우,이한솔,염혜란,한이진"
7,내 여자친구를 소개합니다,2004-06-03,8329341500,0.035,8329341500,1298666,1298666,185,19289,한국,한국,(주)아이필름홀딩스,"CJ ENM,아이러브시네마",15세관람가,"멜로/로맨스,드라마",곽재용,"전지현,장혁,김정태,정호빈,오정세,김창완,김광규,최주현,정한철,안수라,배재일,권영빈,백경찬,한지빈,원태운,장원식,윤선희,임종식,이호경,송윤희,김희영,안호완,박윤희,박윤희,이기우,정보름,우기홍,서동원"
8,늑대의 유혹,2004-07-22,8025959500,0.034,8025959500,1297296,1297296,123,12777,한국,한국,(주)싸이더스,(주)쇼박스,12세관람가,드라마,김태균,"강동원,이청아,조한선,이명수,정혜영,김현진,박용두,조인형,박진희,정다혜,김보연,김응수,남정희"
9,가족,2004-09-03,8051239500,0.034,8051239500,1270581,1270581,104,25473,한국,한국,튜브픽쳐스(주),(주)튜브엔터테인먼트,15세관람가,드라마,이정철,"수애,주현,박지빈,박희순,박상영,정욱,박상우,오현수,전국환"
10,시실리 2km,2004-08-13,8049487000,0.034,8049487000,1263196,1263196,86,16919,한국,한국,한맥영화(주),(주)쇼박스,15세관람가,코미디,신정원,"권오중,김윤석,임은경,임창정,주진모,최원석,정소연,이재민,변희봉,우현,신이,박명신,최원영"
