"주연","횟수","점수","평균점수"
"송강호",7,24,3.42857142857143
"백윤식",3,10,3.33333333333333
"황정민",7,21,3
"조정석",3,9,3
"성동일",4,11,2.75
"오달수",4,11,2.75
"이정재",4,11,2.75
"하정우",10,27,2.7
"강동원",6,16,2.66666666666667
"이병헌",6,16,2.66666666666667
"유해진",8,21,2.625
"곽도원",3,7,2.33333333333333
"김무열",3,7,2.33333333333333
"김혜수",3,7,2.33333333333333
"이선균",3,7,2.33333333333333
"조승우",3,7,2.33333333333333
"차태현",3,7,2.33333333333333
"마동석",4,9,2.25
"손예진",4,9,2.25
"정우성",5,11,2.2
"공유",4,8,2
"박해일",4,8,2
"김아중",3,6,2
"나문희",3,6,2
"문정희",3,6,2
"현빈",3,6,2
"김윤석",8,15,1.875
"류준열",4,7,1.75
"박희순",4,7,1.75
"안성기",4,7,1.75
"김명민",3,5,1.66666666666667
"유아인",3,5,1.66666666666667
"조인성",3,5,1.66666666666667
"최민식",3,5,1.66666666666667
"조진웅",5,8,1.6
"설경구",5,7,1.4
"고창석",3,4,1.33333333333333
"조우진",3,4,1.33333333333333
"정재영",4,4,1
"강예원",3,3,1
"허준호",3,3,1
