"주연","횟수","점수","평균점수","최종점수"
"송강호",11,174,15.8181818181818,7.24313288270558
"오달수",11,172,15.6363636363636,7.20138537139732
"하정우",15,190,12.6666666666667,7.00412657309679
"류승룡",8,130,16.25,6.77952363939573
"유해진",13,141,10.8461538461538,6.25350812215661
"황정민",13,140,10.7692307692308,6.23129310302172
"전지현",3,66,22,6.17293429144643
"이정재",8,97,12.125,5.85616588627299
"김동욱",4,67,16.75,5.78791845139511
"이병헌",8,91,11.375,5.67215642802523
"강동원",9,95,10.5555555555556,5.62731433871138
"정진영",4,60,15,5.47722557505166
"김향기",3,51,17,5.42631216653363
"마동석",10,92,9.2,5.39378850841865
"김수현",2,41,20.5,5.38436421768146
"배두나",2,41,20.5,5.38436421768146
"이정현",2,41,20.5,5.38436421768146
"이준기",2,41,20.5,5.38436421768146
"주지훈",5,64,12.8,5.34992243981138
"차태현",4,54,13.5,5.19615242270663
"김윤석",12,92,7.66666666666667,5.15345635304334
"류준열",5,56,11.2,5.00439420389698
"갈소원",1,25,25,5
"감우성",1,25,25,5
"강성연",1,25,25,5
"공명",1,25,25,5
"김기천",1,25,25,5
"박중훈",1,25,25,5
"변희봉",1,25,25,5
"이동휘",1,25,25,5
"이신제",1,25,25,5
"임달화",1,25,25,5
"임시완",1,25,25,5
"정만식",1,25,25,5
"증국상",1,25,25,5
"진선규",1,25,25,5
"토마스 크레취만",1,25,25,5
"곽도원",5,55,11,4.95951083802603
"김혜수",5,55,11,4.95951083802603
"고아성",3,42,14,4.92429805210492
"박해일",6,59,9.83333333333333,4.90781510831123
"김영애",2,34,17,4.90322654589227
"유아인",4,47,11.75,4.84767985741633
"송중기",2,32,16,4.75682846001088
"최민식",5,48,9.6,4.63316874115308
"조진웅",10,67,6.7,4.60296212488525
"성동일",5,46,9.2,4.53561742136592
"김정태",2,29,14.5,4.52836578186987
"박원상",2,29,14.5,4.52836578186987
"설경구",9,61,6.77777777777778,4.50924975282289
"이하늬",4,39,9.75,4.41588043316392
"백윤식",5,43,8.6,4.38522343860586
"박보영",3,33,11,4.36492369730075
"심은경",3,33,11,4.36492369730075
"정우성",7,49,7,4.30351707065885
"김해숙",2,26,13,4.28774723028891
"조정석",5,41,8.2,4.28202725534276
"한효주",4,36,9,4.24264068711929
"민효린",2,25,12.5,4.20448207626857
"이경영",2,25,12.5,4.20448207626857
"손예진",5,39,7.8,4.17628186602609
"김무열",3,29,9.66666666666667,4.09184039357587
"공유",4,33,8.25,4.06201920231798
"강소라",1,16,16,4
"고수희",1,16,16,4
"김민영",1,16,16,4
"김보미",1,16,16,4
"김수안",1,16,16,4
"김지석",1,16,16,4
"김환희",1,16,16,4
"남보라",1,16,16,4
"로버트 포스터",1,16,16,4
"리암 니슨",1,16,16,4
"박기웅",1,16,16,4
"박소담",1,16,16,4
"박인환",1,16,16,4
"박진주",1,16,16,4
"아만다 브룩스",1,16,16,4
"알리슨 필",1,16,16,4
"에드 해리스",1,16,16,4
"엘리자베스 페나",1,16,16,4
"옥타비아 스펜서",1,16,16,4
"왕석현",1,16,16,4
"유호정",1,16,16,4
"윤아",1,16,16,4
"이연경",1,16,16,4
"이완 브렘너",1,16,16,4
"이은성",1,16,16,4
"이재응",1,16,16,4
"이정은",1,16,16,4
"이종석",1,16,16,4
"이준",1,16,16,4
"이희준",1,16,16,4
"임지연",1,16,16,4
"장혜진",1,16,16,4
"제이미 벨",1,16,16,4
"제이슨 베어",1,16,16,4
"존 허트",1,16,16,4
"최재환",1,16,16,4
"쿠니무라 준",1,16,16,4
"크레이그 로빈슨",1,16,16,4
"크리스 에반스",1,16,16,4
"틸다 스윈튼",1,16,16,4
"홍진희",1,16,16,4
"문정희",3,27,9,3.94822203885748
"김윤진",4,31,7.75,3.93700393700591
"박신혜",4,31,7.75,3.93700393700591
"엄정화",4,31,7.75,3.93700393700591
"김상경",3,26,8.66666666666667,3.87441698826162
"손현주",3,26,8.66666666666667,3.87441698826162
"김태리",2,20,10,3.76060309308639
"최우식",2,20,10,3.76060309308639
"김아중",4,28,7,3.74165738677394
"하지원",4,28,7,3.74165738677394
"김주혁",5,31,6.2,3.7233884380358
"이선균",5,31,6.2,3.7233884380358
"조승우",5,31,6.2,3.7233884380358
"현빈",3,24,8,3.7224194364084
"김남길",4,27,6.75,3.67423461417477
"이현우",4,27,6.75,3.67423461417477
"안성기",5,29,5.8,3.60127675547142
"김상중",2,18,9,3.56762134500816
"임수정",2,18,9,3.56762134500816
"조인성",3,22,7.33333333333333,3.56394527485647
"김우빈",4,25,6.25,3.53553390593274
"나문희",4,25,6.25,3.53553390593274
"박희순",6,30,5,3.49963551158058
"엄지원",3,21,7,3.48200454522709
"문채원",2,17,8.5,3.46710474029431
"소지섭",2,17,8.5,3.46710474029431
"윤계상",2,17,8.5,3.46710474029431
"이요원",2,17,8.5,3.46710474029431
"정우",2,17,8.5,3.46710474029431
"조윤희",2,17,8.5,3.46710474029431
"진경",2,17,8.5,3.46710474029431
"진세연",2,17,8.5,3.46710474029431
"천우희",2,17,8.5,3.46710474029431
"류승범",4,22,5.5,3.3166247903554
"이범수",4,22,5.5,3.3166247903554
"조여정",4,22,5.5,3.3166247903554
"한석규",4,22,5.5,3.3166247903554
"전혜진",3,19,6.33333333333333,3.31204696745123
"김명민",5,24,4.8,3.27614503525088
"이진욱",3,18,6,3.22370979547063
"정재영",7,27,3.85714285714286,3.19453295040905
"조우진",3,17,5.66666666666667,3.13288279005513
"고창석",6,23,3.83333333333333,3.06426348094756
"박성웅",2,13,6.5,3.03189514255113
"수지",2,13,6.5,3.03189514255113
"정유미",2,13,6.5,3.03189514255113
"정준호",2,13,6.5,3.03189514255113
"진구",2,13,6.5,3.03189514255113
"한지민",2,13,6.5,3.03189514255113
"강혜정",1,9,9,3
"김동완",1,9,9,3
"김주현",1,9,9,3
"김지수",1,9,9,3
"남주혁",1,9,9,3
"문근영",1,9,9,3
"송하윤",1,9,9,3
"윤경호",1,9,9,3
"이서진",1,9,9,3
"장기용",1,9,9,3
"전미선",1,9,9,3
"정운택",1,9,9,3
"정웅인",1,9,9,3
"주진모",4,18,4.5,3
"강하늘",3,14,4.66666666666667,2.84304480595272
"배성우",3,14,4.66666666666667,2.84304480595272
"신하균",3,14,4.66666666666667,2.84304480595272
"원빈",3,14,4.66666666666667,2.84304480595272
"김대명",2,10,5,2.65914794847249
"김새론",2,10,5,2.65914794847249
"김성령",2,10,5,2.65914794847249
"김원희",2,10,5,2.65914794847249
"박해준",2,10,5,2.65914794847249
"신정근",2,10,5,2.65914794847249
"염정아",2,10,5,2.65914794847249
"오지호",2,10,5,2.65914794847249
"강예원",3,12,4,2.63214802590498
"허준호",3,12,4,2.63214802590498
"이제훈",4,13,3.25,2.54950975679639
"박서준",3,11,3.66666666666667,2.52008987162876
"이성민",3,11,3.66666666666667,2.52008987162876
"김수미",4,12,3,2.44948974278318
"신현준",4,12,3,2.44948974278318
"T.O.P",2,8,4,2.37841423000544
"김인권",2,8,4,2.37841423000544
"이민기",2,8,4,2.37841423000544
"김래원",3,9,3,2.27950705695478
"문소리",3,9,3,2.27950705695478
"엄태웅",3,9,3,2.27950705695478
"유지태",3,9,3,2.27950705695478
"장영남",3,9,3,2.27950705695478
"조재현",3,9,3,2.27950705695478
"고수",4,10,2.5,2.23606797749979
"권상우",4,10,2.5,2.23606797749979
"강신일",1,4,4,2
"강지환",1,4,4,2
"강하나",1,4,4,2
"견미리",1,4,4,2
"공효진",1,4,4,2
"김갑수",1,4,4,2
"김강우",1,4,4,2
"김남주",1,4,4,2
"김다미",1,4,4,2
"김성규",1,4,4,2
"김승우",1,4,4,2
"김시은",1,4,4,2
"김정은",1,4,4,2
"김준배",1,4,4,2
"김지영",1,4,4,2
"김지호",1,4,4,2
"김혜자",1,4,4,2
"나나",1,4,4,2
"나영희",1,4,4,2
"남상지",1,4,4,2
"다니엘 헤니",1,4,4,2
"도경수",1,4,4,2
"류승수",1,4,4,2
"류신",1,4,4,2
"문성근",1,4,4,2
"박민하",1,4,4,2
"박신양",1,4,4,2
"박영서",1,4,4,2
"박준면",1,4,4,2
"박지희",1,4,4,2
"뱅상 카셀",1,4,4,2
"서미지",1,4,4,2
"선우선",1,4,4,2
"수애",1,4,4,2
"신세경",1,4,4,2
"안세하",1,4,4,2
