"주연","횟수","점수","평균점수","최종점수"
"송강호",11,174,15.8181818181818,52.4629739565309
"오달수",11,172,15.6363636363636,51.8599512673753
"하정우",15,190,12.6666666666667,49.0577890519606
"류승룡",8,130,16.25,45.9619407771256
"유해진",13,141,10.8461538461538,39.1063638338787
"황정민",13,140,10.7692307692308,38.829013735766
"전지현",3,66,22,38.1051177665153
"이정재",8,97,12.125,34.2946788875476
"김동욱",4,67,16.75,33.5
"이병헌",8,91,11.375,32.1733585439879
"강동원",9,95,10.5555555555556,31.6666666666667
"정진영",4,60,15,30
"김향기",3,51,17,29.4448637286709
"마동석",10,92,9.2,29.0929544735491
"김수현",2,41,20.5,28.9913780286485
"배두나",2,41,20.5,28.9913780286485
"이정현",2,41,20.5,28.9913780286485
"이준기",2,41,20.5,28.9913780286485
"주지훈",5,64,12.8,28.6216701119973
"차태현",4,54,13.5,27
"김윤석",12,92,7.66666666666667,26.5581123827228
"류준열",5,56,11.2,25.0439613479976
"갈소원",1,25,25,25
"감우성",1,25,25,25
"강성연",1,25,25,25
"공명",1,25,25,25
"김기천",1,25,25,25
"박중훈",1,25,25,25
"변희봉",1,25,25,25
"이동휘",1,25,25,25
"이신제",1,25,25,25
"임달화",1,25,25,25
"임시완",1,25,25,25
"정만식",1,25,25,25
"증국상",1,25,25,25
"진선규",1,25,25,25
"토마스 크레취만",1,25,25,25
"곽도원",5,55,11,24.5967477524977
"김혜수",5,55,11,24.5967477524977
"고아성",3,42,14,24.2487113059643
"박해일",6,59,9.83333333333333,24.0866491373679
"김영애",2,34,17,24.0416305603426
"유아인",4,47,11.75,23.5
"송중기",2,32,16,22.6274169979695
"최민식",5,48,9.6,21.466252583998
"조진웅",10,67,6.7,21.1872603231281
"성동일",5,46,9.2,20.5718253929981
"김정태",2,29,14.5,20.5060966544099
"박원상",2,29,14.5,20.5060966544099
"설경구",9,61,6.77777777777778,20.3333333333333
"이하늬",4,39,9.75,19.5
"백윤식",5,43,8.6,19.2301846064982
"박보영",3,33,11,19.0525588832576
"심은경",3,33,11,19.0525588832576
"정우성",7,49,7,18.5202591774521
"김해숙",2,26,13,18.3847763108502
"조정석",5,41,8.2,18.3357574154983
"한효주",4,36,9,18
"민효린",2,25,12.5,17.6776695296637
"이경영",2,25,12.5,17.6776695296637
"손예진",5,39,7.8,17.4413302244984
"김무열",3,29,9.66666666666667,16.7431578064991
"공유",4,33,8.25,16.5
"강소라",1,16,16,16
"고수희",1,16,16,16
"김민영",1,16,16,16
"김보미",1,16,16,16
"김수안",1,16,16,16
"김지석",1,16,16,16
"김환희",1,16,16,16
"남보라",1,16,16,16
"로버트 포스터",1,16,16,16
"리암 니슨",1,16,16,16
"박기웅",1,16,16,16
"박소담",1,16,16,16
"박인환",1,16,16,16
"박진주",1,16,16,16
"아만다 브룩스",1,16,16,16
"알리슨 필",1,16,16,16
"에드 해리스",1,16,16,16
"엘리자베스 페나",1,16,16,16
"옥타비아 스펜서",1,16,16,16
"왕석현",1,16,16,16
"유호정",1,16,16,16
"윤아",1,16,16,16
"이연경",1,16,16,16
"이완 브렘너",1,16,16,16
"이은성",1,16,16,16
"이재응",1,16,16,16
"이정은",1,16,16,16
"이종석",1,16,16,16
"이준",1,16,16,16
"이희준",1,16,16,16
"임지연",1,16,16,16
"장혜진",1,16,16,16
"제이미 벨",1,16,16,16
"제이슨 베어",1,16,16,16
"존 허트",1,16,16,16
"최재환",1,16,16,16
"쿠니무라 준",1,16,16,16
"크레이그 로빈슨",1,16,16,16
"크리스 에반스",1,16,16,16
"틸다 스윈튼",1,16,16,16
"홍진희",1,16,16,16
"문정희",3,27,9,15.5884572681199
"김윤진",4,31,7.75,15.5
"박신혜",4,31,7.75,15.5
"엄정화",4,31,7.75,15.5
"김상경",3,26,8.66666666666667,15.0111069989303
"손현주",3,26,8.66666666666667,15.0111069989303
"김태리",2,20,10,14.142135623731
"최우식",2,20,10,14.142135623731
"김아중",4,28,7,14
"하지원",4,28,7,14
"김주혁",5,31,6.2,13.8636214604987
"이선균",5,31,6.2,13.8636214604987
"조승우",5,31,6.2,13.8636214604987
"현빈",3,24,8,13.856406460551
"김남길",4,27,6.75,13.5
"이현우",4,27,6.75,13.5
"안성기",5,29,5.8,12.9691942694988
"김상중",2,18,9,12.7279220613579
"임수정",2,18,9,12.7279220613579
"조인성",3,22,7.33333333333333,12.7017059221718
"김우빈",4,25,6.25,12.5
"나문희",4,25,6.25,12.5
"박희순",6,30,5,12.2474487139159
"엄지원",3,21,7,12.1243556529821
"문채원",2,17,8.5,12.0208152801713
"소지섭",2,17,8.5,12.0208152801713
"윤계상",2,17,8.5,12.0208152801713
"이요원",2,17,8.5,12.0208152801713
"정우",2,17,8.5,12.0208152801713
"조윤희",2,17,8.5,12.0208152801713
"진경",2,17,8.5,12.0208152801713
"진세연",2,17,8.5,12.0208152801713
"천우희",2,17,8.5,12.0208152801713
"류승범",4,22,5.5,11
"이범수",4,22,5.5,11
"조여정",4,22,5.5,11
"한석규",4,22,5.5,11
"전혜진",3,19,6.33333333333333,10.9696551146029
"김명민",5,24,4.8,10.733126291999
"이진욱",3,18,6,10.3923048454133
"정재영",7,27,3.85714285714286,10.2050407712491
"조우진",3,17,5.66666666666667,9.81495457622364
"고창석",6,23,3.83333333333333,9.38971068066885
"박성웅",2,13,6.5,9.19238815542512
"수지",2,13,6.5,9.19238815542512
"정유미",2,13,6.5,9.19238815542512
"정준호",2,13,6.5,9.19238815542512
"진구",2,13,6.5,9.19238815542512
"한지민",2,13,6.5,9.19238815542512
"주진모",4,18,4.5,9
"강혜정",1,9,9,9
"김동완",1,9,9,9
"김주현",1,9,9,9
"김지수",1,9,9,9
"남주혁",1,9,9,9
"문근영",1,9,9,9
"송하윤",1,9,9,9
"윤경호",1,9,9,9
"이서진",1,9,9,9
"장기용",1,9,9,9
"전미선",1,9,9,9
"정운택",1,9,9,9
"정웅인",1,9,9,9
"강하늘",3,14,4.66666666666667,8.08290376865476
"배성우",3,14,4.66666666666667,8.08290376865476
"신하균",3,14,4.66666666666667,8.08290376865476
"원빈",3,14,4.66666666666667,8.08290376865476
"김대명",2,10,5,7.07106781186548
"김새론",2,10,5,7.07106781186548
"김성령",2,10,5,7.07106781186548
"김원희",2,10,5,7.07106781186548
