"주연","총횟수","cluster","횟수","누적관객수__개봉일스크린수","누적관객수__스크린수","누적관객수__상영횟수","평균_관람객_개스크","평균_관람객_스크","평균_관람객_상횟","관람객개스크점수"
"강동원",17,1,1,13949.4193548387,10547.1219512195,101.533693355248,13949.4193548387,10547.1219512195,101.533693355248,13949.4193548387
"강동원",17,2,4,24378.6490292842,20016.5374896741,195.791403297723,6094.66225732105,5004.13437241853,48.9478508244308,12189.3245146421
"강동원",17,3,7,36059.3428186505,32646.7485475484,272.822611224881,5151.33468837864,4663.82122107834,38.9746587464115,13629.1505055103
"강동원",17,4,5,22810.6793633914,19943.2325595755,278.251541945802,4562.13587267828,3988.64651191511,55.6503083891604,10201.245933899
"강소라",4,1,1,422.5125,397.658823529412,13.7850734094617,422.5125,397.658823529412,13.7850734094617,422.5125
"강소라",4,2,2,19058.6057692308,13760.9423076923,64.6818517041697,9529.30288461538,6880.47115384615,32.3409258520849,13476.4693793841
"강소라",4,3,1,3172.7134935305,3109.48913043478,32.0213047777177,3172.7134935305,3109.48913043478,32.0213047777177,3172.7134935305
"강소라",4,4,0,0,0,0,0,0,0,0
"강신일",20,1,2,8212.12612118796,7165.48591009877,74.9241006556371,4106.06306059398,3582.74295504939,37.4620503278185,5806.85006825119
"강신일",20,2,8,42198.7328768975,35408.6938242129,310.751419479415,5274.84160961219,4426.08672802661,38.8439274349269,14919.505087367
"강신일",20,3,9,45756.8947940253,38536.3196801048,417.377446804344,5084.09942155837,4281.81329778942,46.3752718671494,15252.2982646751
"강신일",20,4,1,4455.5879494655,3872.2972972973,45.7245437319238,4455.5879494655,3872.2972972973,45.7245437319238,4455.5879494655
"강예원",13,1,0,0,0,0,0,0,0,0
"강예원",13,2,10,30668.5907248174,27552.7170098874,267.369876545951,3066.85907248174,2755.27170098874,26.7369876545951,9698.25993179372
"강예원",13,3,2,27695.2408140125,20902.4570609326,124.875215628913,13847.6204070063,10451.2285304663,62.4376078144566,19583.4925861827
"강예원",13,4,1,4015.71729587357,3027.06949040371,40.1437799504994,4015.71729587357,3027.06949040371,40.1437799504994,4015.71729587357
"강지환",3,1,1,469.948275862069,443.20325203252,10.8897323212145,469.948275862069,443.20325203252,10.8897323212145,469.948275862069
"강지환",3,2,2,15326.5863933386,11615.3200583445,78.9005735520259,7663.29319666928,5807.66002917224,39.450286776013,10837.5331711712
"강지환",3,3,0,0,0,0,0,0,0,0
"강지환",3,4,0,0,0,0,0,0,0,0
"강하나",1,1,0,0,0,0,0,0,0,0
"강하나",1,2,1,6992.55750487329,4094.95662100457,39.7304403685983,6992.55750487329,4094.95662100457,39.7304403685983,6992.55750487329
"강하나",1,3,0,0,0,0,0,0,0,0
"강하나",1,4,0,0,0,0,0,0,0,0
"강하늘",12,1,0,0,0,0,0,0,0,0
"강하늘",12,2,6,12579.551398425,9897.93903383291,159.669181287926,2096.59189973751,1649.65650563882,26.6115302146544,5135.58035320932
"강하늘",12,3,5,12822.8972761237,11106.8073908326,156.396653991997,2564.57945522473,2221.36147816652,31.2793307983995,5734.57399558188
"강하늘",12,4,1,5130.16696914701,5130.16696914701,47.6894733734299,5130.16696914701,5130.16696914701,47.6894733734299,5130.16696914701
"강혜정",8,1,4,7295.13195343356,6597.34035949961,79.5106699566338,1823.78298835839,1649.3350898749,19.8776674891584,3647.56597671678
"강혜정",8,2,4,28351.4611415219,26019.0929177775,178.495836762035,7087.86528538048,6504.77322944437,44.6239591905088,14175.730570761
"강혜정",8,3,0,0,0,0,0,0,0,0
"강혜정",8,4,0,0,0,0,0,0,0,0
"견미리",1,1,0,0,0,0,0,0,0,0
"견미리",1,2,1,8792.63372093023,7001.54166666667,43.2428730735139,8792.63372093023,7001.54166666667,43.2428730735139,8792.63372093023
"견미리",1,3,0,0,0,0,0,0,0,0
"견미리",1,4,0,0,0,0,0,0,0,0
"고수",11,1,1,2049.68103448276,1964.98347107438,28.4201530002391,2049.68103448276,1964.98347107438,28.4201530002391,2049.68103448276
"고수",11,2,5,12232.871037519,10340.9562817734,161.919164655186,2446.57420750381,2068.19125635467,32.3838329310372,5470.70623997619
"고수",11,3,4,19702.5716254492,16831.0395688257,192.308583300221,4925.6429063623,4207.75989220642,48.0771458250552,9851.2858127246
"고수",11,4,1,3421.448,3131.91944670464,54.1353126494332,3421.448,3131.91944670464,54.1353126494332,3421.448
"고수희",13,1,3,12177.7069008268,10395.7434045734,102.226946820287,4059.23563360893,3465.24780152446,34.0756489400955,7030.80235730472
"고수희",13,2,8,52678.8467894402,42993.7246552001,334.038365865218,6584.85584868002,5374.21558190001,41.7547957331522,18624.7848949502
"고수희",13,3,2,26509.4165067617,21385.2041696334,146.361163860713,13254.7082533808,10692.6020848167,73.1805819303567,18744.9881772298
"고수희",13,4,0,0,0,0,0,0,0,0
"고아성",6,1,0,0,0,0,0,0,0,0
"고아성",6,2,2,4493.71022831543,3864.09982137358,51.9175538874778,2246.85511415772,1932.04991068679,25.9587769437389,3177.53297512919
"고아성",6,3,3,25804.2355832617,21300.6309526751,158.986753299625,8601.41186108725,7100.21031755835,52.9955844332083,14898.0823602287
"고아성",6,4,1,9989.66132478632,8289.29343971631,74.887656377645,9989.66132478632,8289.29343971631,74.887656377645,9989.66132478632
"고창석",22,1,2,1083.58028022197,1043.0118634681,20.7990355267569,541.790140110985,521.505931734048,10.3995177633784,766.206964104974
"고창석",22,2,8,17213.2141976717,15915.0702625238,227.36329414548,2151.65177470897,1989.38378281548,28.4204117681849,6085.79024259512
"고창석",22,3,11,69962.5433573921,60006.1869076525,534.909589576791,6360.23121430837,5455.10790069568,48.628144506981,21094.5005177674
"고창석",22,4,1,7426.98292422625,5189.47278150634,59.2459028954291,7426.98292422625,5189.47278150634,59.2459028954291,7426.98292422625
"공유",10,1,3,20481.0736834635,18565.0861154987,143.326191897387,6827.0245611545,6188.36203849956,47.7753972991289,11824.7534044402
"공유",10,2,2,3402.98422759434,3081.93320571867,55.6935462579527,1701.49211379717,1540.96660285933,27.8467731289764,2406.27322360282
"공유",10,3,1,9419.85656565657,6167.76322751323,52.7833572940604,9419.85656565657,6167.76322751323,52.7833572940604,9419.85656565657
"공유",10,4,4,21347.8594158984,19257.9683564996,215.768734894781,5336.96485397459,4814.49208912489,53.9421837236953,10673.9297079492
"곽도원",14,1,1,829.477941176471,747.079470198675,18.9451675203628,829.477941176471,747.079470198675,18.9451675203628,829.477941176471
"곽도원",14,2,3,7055.0404958337,6578.79807425218,95.8584440398252,2351.6801652779,2192.93269141739,31.9528146799417,4073.2295294133
"곽도원",14,3,6,45232.5578030762,34501.591749246,300.667776647292,7538.75963384603,5750.265291541,50.1112961078821,18466.1143964137
"곽도원",14,4,4,12888.9530549507,10966.4595594028,175.710383363484,3222.23826373768,2741.61488985071,43.927595840871,6444.47652747536
"권상우",11,1,2,9678.28543635353,8005.82398656271,88.4041577126492,4839.14271817676,4002.91199328136,44.2020788563246,6843.58126230459
"권상우",11,2,6,19413.911979088,16463.7024792043,202.637484009039,3235.65199651466,2743.95041320072,33.7729140015065,7925.69637667858
"권상우",11,3,2,8779.16272226803,7261.30469600097,70.7988285621922,4389.58136113402,3630.65234800048,35.3994142810961,6207.80549405588
"권상우",11,4,1,1853.46821305842,1731.49036918138,26.2532186229891,1853.46821305842,1731.49036918138,26.2532186229891,1853.46821305842
"김갑수",3,1,0,0,0,0,0,0,0,0
"김갑수",3,2,1,978.435185185185,932.391176470588,18.1586092335892,978.435185185185,932.391176470588,18.1586092335892,978.435185185185
"김갑수",3,3,1,3429.67961165049,2890.81014729951,34.3468157510938,3429.67961165049,2890.81014729951,34.3468157510938,3429.67961165049
"김갑수",3,4,1,3536.8149324861,3122.61570827489,55.4119638123919,3536.8149324861,3122.61570827489,55.4119638123919,3536.8149324861
"김남길",10,1,1,410.793650793651,386.268656716418,8.07488299531981,410.793650793651,386.268656716418,8.07488299531981,410.793650793651
"김남길",10,2,5,9504.38594185075,8984.00919793618,108.022738267682,1900.87718837015,1796.80183958724,21.6045476535364,4250.49061007433
"김남길",10,3,3,14616.8124406324,12585.9314093147,111.528363062327,4872.27081354415,4195.31046977157,37.1761210207755,8439.02059729341
"김남길",10,4,1,4455.5879494655,3872.2972972973,45.7245437319238,4455.5879494655,3872.2972972973,45.7245437319238,4455.5879494655
"김다미",2,1,0,0,0,0,0,0,0,0
"김다미",2,2,1,291.780991735537,259.122935779816,9.86049434436531,291.780991735537,259.122935779816,9.86049434436531,291.780991735537
"김다미",2,3,1,3623.96704545455,2855.05013428827,35.1055227150138,3623.96704545455,2855.05013428827,35.1055227150138,3623.96704545455
"김다미",2,4,0,0,0,0,0,0,0,0
"김대명",13,1,0,0,0,0,0,0,0,0
"김대명",13,2,1,2058.01663201663,1666.50841750842,25.4802059202059,2058.01663201663,1666.50841750842,25.4802059202059,2058.01663201663
"김대명",13,3,8,31278.6533749914,26120.6226563488,317.03766958943,3909.83167187393,3265.0778320436,39.6297086986788,11058.67395392
"김대명",13,4,4,17804.7811613105,15226.2444214418,179.285046825724,4451.19529032761,3806.56110536044,44.8212617064311,8902.39058065523
"김동완",1,1,0,0,0,0,0,0,0,0
"김동완",1,2,0,0,0,0,0,0,0,0
"김동완",1,3,1,8768.60776699029,5949.71409749671,62.782685463241,8768.60776699029,5949.71409749671,62.782685463241,8768.60776699029
"김동완",1,4,0,0,0,0,0,0,0,0
"김동욱",17,1,6,12637.5768931675,10229.3287315254,129.54133829173,2106.26281552792,1704.8881219209,21.5902230486217,5159.26916224126
"김동욱",17,2,4,8452.53777439592,7678.94857660622,122.429624545629,2113.13444359898,1919.73714415155,30.6074061364072,4226.26888719796
"김동욱",17,3,5,39744.360634953,30412.1569571703,210.019473570894,7948.8721269906,6082.43139143406,42.0038947141788,17774.2184204043
"김동욱",17,4,2,15611.6189311547,13030.3132751584,135.74703570581,7805.80946557735,6515.15663757921,67.8735178529052,11039.0816115198
"김명민",17,1,1,2802.84716157205,2731.28510638298,42.1633055245352,2802.84716157205,2731.28510638298,42.1633055245352,2802.84716157205
"김명민",17,2,4,10177.4735615925,9046.98809028069,105.112674641006,2544.36839039812,2261.74702257017,26.2781686602515,5088.73678079624
"김명민",17,3,9,38018.0071260118,30606.626689042,342.753140881475,4224.22301400131,3400.73629878244,38.0836823201639,12672.6690420039
"김명민",17,4,3,7211.25075144085,6440.85545134378,94.0568518117335,2403.75025048028,2146.95181711459,31.3522839372445,4163.41756253827
"김무열",12,1,2,726.264017621145,698.471382007823,18.5176931833539,363.132008810573,349.235691003911,9.25884659167696,513.546211791698
"김무열",12,2,3,6966.26383910929,6601.96700876359,72.8847632210172,2322.08794636976,2200.65566958786,24.2949210736724,4021.97430275571
"김무열",12,3,6,32307.2366553534,26136.9763629693,232.08279318329,5384.5394425589,4356.16272716155,38.6804655305483,13189.3741341595
"김무열",12,4,1,828.598156682028,828.598156682028,35.3558675475853,828.598156682028,828.598156682028,35.3558675475853,828.598156682028
"김미숙",3,1,1,19796.4150943396,17633.781512605,70.5434252769233,19796.4150943396,17633.781512605,70.5434252769233,19796.4150943396
"김미숙",3,2,2,8599.0349120359,7671.62186003742,72.6526478673504,4299.51745601795,3835.81093001871,36.3263239336752,6080.43589796045
"김미숙",3,3,0,0,0,0,0,0,0,0
"김미숙",3,4,0,0,0,0,0,0,0,0
"김민영",3,1,0,0,0,0,0,0,0,0
"김민영",3,2,3,25195.3399684246,19295.7493154879,115.760619072935,8398.44665614155,6431.91643849596,38.5868730243116,14546.5363130941
"김민영",3,3,0,0,0,0,0,0,0,0
"김민영",3,4,0,0,0,0,0,0,0,0
"김민희",9,1,2,2577.70333550125,2309.59971005155,33.1875119303345,1288.85166775063,1154.79985502577,16.5937559651673,1822.71150842012
"김민희",9,2,4,8136.64044627786,7198.97327967359,104.803513113666,2034.16011156946,1799.7433199184,26.2008782784166,4068.32022313893
"김민희",9,3,2,4524.91909592444,4004.89481949247,52.1507516400583,2262.45954796222,2002.44740974624,26.0753758200292,3199.60097704868
"김민희",9,4,1,4220.99409448819,3662.28010247652,47.4541893506838,4220.99409448819,3662.28010247652,47.4541893506838,4220.99409448819
"김보미",7,1,1,169.236607142857,160.631355932203,7.71291963377416,169.236607142857,160.631355932203,7.71291963377416,169.236607142857
"김보미",7,2,2,21854.4457885305,16223.1021135414,86.1390113981288,10927.2228942652,8111.55105677071,43.0695056990644,15453.4268161437
"김보미",7,3,4,13588.6269503825,12421.4471975011,142.879076328482,3397.15673759563,3105.36179937527,35.7197690821204,6794.31347519126
"김보미",7,4,0,0,0,0,0,0,0,0
"김상경",10,1,2,8471.98097921803,8443.93091655267,101.204594717913,4235.99048960902,4221.96545827633,50.6022973589567,5990.59520048852
"김상경",10,2,4,7561.63140348259,6134.17896243726,103.362272297447,1890.40785087065,1533.54474060932,25.8405680743619,3780.8157017413
