"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"말죽거리 잔혹사","2004-01-16",3837152000,0.6,3837152000,604969,604969,40,5513,"한국","(주)싸이더스","CJ ENM","15세관람가","액션","유하","권상우"
"내사랑 싸가지","2004-01-16",1836153500,0.3,1836153500,296125,296125,22,2967,"한국","제이웰엔터테인먼트(주)","(주)시네마서비스","12세관람가","코미디","신동엽","김재원"
"빙우","2004-01-16",363240500,0.1,363240500,55656,55656,18,1015,"한국","쿠앤필름(주)","(주)쇼박스","12세관람가","드라마","김은숙","김하늘"
"안녕! 유에프오","2004-01-30",250534000,0,250534000,40361,40361,17,864,"한국","우리영화(주)","(주)튜브엔터테인먼트","전체관람가","드라마","김진민","김응수"
"그녀를 모르면 간첩","2004-01-30",187798000,0,187798000,30435,30435,22,822,"한국","(주)엠쓰리엔터테인먼트","(주)쇼박스","15세관람가","코미디","박한준","공유"
"태극기 휘날리며","2004-02-05",15687429500,2.3,15687429500,2544986,2544986,115,22376,"한국","강제규필름","(주)다자인소프트","15세관람가","전쟁","강제규","장동건"
"마법경찰 갈갈이와 옥동자","2004-02-13",18446500,0,18446500,3074,3074,13,252,"한국","(주)토토엔터테인먼트","콜럼비아트라이스타㈜","전체관람가","코미디","이한열","박준형"
"목포는 항구다","2004-02-20",2673832500,0.4,2673832500,425725,425725,25,6239,"한국","기획시대(주)","코리아픽쳐스(주)","15세관람가","드라마","김지훈","김윤태"
"그녀를 믿지 마세요","2004-02-20",1859615500,0.3,1859615500,298221,298221,25,4664,"한국","㈜영화사시선","(주)시네마서비스","12세관람가","코미디","배형준","강동원"
"어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장","2004-03-12",1158210500,0.2,1158210500,181510,181510,28,3570,"한국","㈜제니스엔터테인먼트","(주)시네마서비스","12세관람가","코미디","강석범","김주혁"
"어깨동무","2004-03-12",753985500,0.1,753985500,119884,119884,26,3015,"한국","(주)씨케이픽쳐스","CJ ENM","15세관람가","코미디","조진규","김아중"
"고독이 몸부림칠 때","2004-03-19",68938500,0,68938500,10745,10745,20,826,"한국","(주)마술피리","(주)쇼박스","15세관람가","코미디","이수인","주현"
"맹부삼천지교","2004-03-26",1424995500,0.2,1424995500,229240,229240,56,5254,"한국","코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","김지영","손창민"
