"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","cluster","감독_배우"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","송강호","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","이선균","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","송강호","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","이선균","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","송강호","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","이선균","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","송강호","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","이선균","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","송강호","(주)바른손이앤에이",3,"송강호"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","CJ ENM","15세이상관람가","드라마","봉준호","이선균","(주)바른손이앤에이",3,"송강호"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민","(주)영화사 월광,(주)사나이픽처스",3,"황정민"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","강동원","(주)영화사 월광,(주)사나이픽처스",3,"황정민"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민","(주)영화사 월광,(주)사나이픽처스",3,"주진모"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","강동원","(주)영화사 월광,(주)사나이픽처스",3,"주진모"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민","(주)영화사 월광,(주)사나이픽처스",3,"김병옥"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","강동원","(주)영화사 월광,(주)사나이픽처스",3,"김병옥"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민","(주)영화사 월광,(주)사나이픽처스",3,"황정민"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","강동원","(주)영화사 월광,(주)사나이픽처스",3,"황정민"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민","(주)영화사 월광,(주)사나이픽처스",3,"주진모"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","강동원","(주)영화사 월광,(주)사나이픽처스",3,"주진모"
"설국열차",67012235200,9350323,1128,124858,"2013-08-01","CJ ENM","15세이상관람가","SF,액션","봉준호","크리스 에반스","(주)모호필름,오퍼스픽쳐스(유)",3,"송강호"
"설국열차",67012235200,9350323,1128,124858,"2013-08-01","CJ ENM","15세이상관람가","SF,액션","봉준호","송강호","(주)모호필름,오퍼스픽쳐스(유)",3,"송강호"
