"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"웰컴 투 동막골",2005-08-04,40328508500,40328508500,6436508,6436508,356,72108,"필름있수다,(주)쇼박스","(주)쇼박스","12세관람가","전쟁,드라마","박광현","신하균,정재영,강혜정,류덕환,임하룡,강남석,조혜진,손재영,신영철,류창국,김도영,민창기,이화경,최민영,최상순,임은희,박아형,정영기,김찬호,이경애,이다운,김영배,서재경,유승목,조덕현,심원철,리민,이란희,하성광"
"가문의 위기(가문의 영광2)",2005-09-07,28622355500,28622355500,4529876,4529876,351,61009,"(주)태원엔터테인먼트","(주)쇼박스","15세관람가","코미디","정용기","신현준,김수미,김원희,최은주,김효진,박은혜,임형준,한재혁,김인욱,이화란,장지영,김재희,장서윤,이미도,공형진,정준하,탁재훈,정호빈,최욱,김해곤,신이"
"말아톤",2005-01-27,26284943000,26284943000,4196840,4196840,238,59493,"시네라인투(주)","(주)쇼박스","전체관람가","드라마","정윤철","조승우,김미숙,이진영,허자경,석명홍,정철우,이민숙,김장욱,전수지,정미선,정미영,김영아,이창헌,이기영,백성현,안내상,김도영,우기홍"
"공공의 적 2",2005-01-27,20091127000,20091127000,3134421,3134421,299,40642,"(주)시네마서비스","(주)시네마서비스","15세관람가","드라마","강우석","설경구,정준호,유해진,강경덕,박웅,강신일,홍지연,전미애,박태수,남성훈,한재준,서영민,박상욱,최수경,이채은,이미도,변희봉,최정우,김강일,남문철,권태원,원근희"
"친절한 금자씨",2005-07-29,20483051393,20483051393,3119682,3119682,386,41438,"(주)모호필름","CJ ENM","18세관람가","스릴러","박찬욱","이영애,최민식,권예영,김시후,남일우,김병옥,오달수,이승신,김부선,라미란,고수희,최정우,송강호,김유정,강남미,이대연,최희진,이병준,이용녀,차순배,박명신"
"태풍",2005-12-14,19372557600,19372557600,3035086,3035086,481,36678,"CJ ENM","CJ ENM","15세관람가","드라마,액션","곽경택","김혜정,김원진,이정재,이미연,추현경,장동건,허욱,신성일,김형찬,홍의정,김이호,나수원,박태호,김경환,김상용,민성주,민지환,박광설,유승권,박병렬,김철준,이주헌,이성근,최일화,박찬영,데이비드 맥기니스,손병욱,조운"
"너는 내 운명",2005-09-23,17653752500,17653752500,2701230,2701230,306,46667,"(주)영화사봄","CJ ENM","18세관람가","멜로/로맨스","박진표","전도연,황정민,나문희,서주희,윤제문,김상호,이민아,임종윤,신수현,정광재,박명규,정영헌,김수연,이경아,이규복,한지원,이미소,고수희,박진우,김학선,오정세,김광규,김부선,정유석,유지연,류승수,김정영,손경원"
"마파도",2005-03-10,16751202503,16751202503,2636857,2636857,178,49473,"코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","추창민","김수미,여운계,이정진,이문식,오달수,유해진,홍성훈,최주현,김보리,유인수,김종보,이종윤,서영희,정은표,길해연,정대용,김상호,김정영"
"태극기 휘날리며",2004-02-05,15687429500,15687429500,2544986,2544986,115,22376,"강제규필름","(주)다자인소프트,(주)쇼박스","15세관람가","전쟁,드라마","강제규","장동건,원빈,이은주,공형진,조원희,이장욱,이영란,정희준,박유신,김효열,김효준,최재혁,이건우,박태원,배상철,김범주,한선랑,이동혁,한재민,지중현,김대영,민지혁,이호천,임동빈,김재중,박성희,임성택,정승진,이정훈,오명준,이기수,김용현,이주원,이환희,장민호,정호빈,박길수,박동빈,안길강,김해곤,권태원,최교식,조운,전승재"
"내 생애 가장 아름다운 일주일",2005-10-07,14710541000,14710541000,2290709,2290709,296,41056,"(주)두사부필름,(주)수필름","CJ ENM","15세관람가","멜로/로맨스","민규동","황정민,엄정화,김유정,김윤석,진태현,임창정,정경호,최원석,김수로,정혜영,조상철,김민섭,박준석,전성호,한상훈,서성종,김다인,김도민,유근희,김성래,최민규,전창훈,박상현,임이랑,이주리,김승원,이진호,이은희,이현,이현규,서영희,박진우,우현,주현,정경호,조희봉,이세영,류승수"
"박수칠 때 떠나라",2005-08-11,13181626500,13181626500,2073641,2073641,237,32149,"(주)어나더썬데이","(주)시네마서비스","15세관람가","드라마,코미디,미스터리","장진","차승원,신하균,이재용,김지수,박정아,박은주,조정진,인정주,정규수,임미연,정영호,윤진호,이태상,이해영,이형곤,정동환,장소연,장영남,이철민,이한위,황정민"
"광식이 동생 광태",2005-11-23,12808604009,12808604009,2024424,2024424,276,35674,"(주)엠케이픽처스","(주)엠케이픽처스","15세관람가","코미디","김현석","김주혁,봉태규,이요원,김아중,정경호,최은정,민도기,김성훈,김효주,김형민,유정민,박선민,이대연,박철민"
"혈의 누",2005-05-04,12367486506,12367486506,1926592,1926592,264,35167,"(주)싸이더스,(주)좋은영화","(주)시네마서비스","18세관람가","스릴러","김대승","차승원,박용우,지성,윤세아,최종원,박철민,유해진,박충선,장석원,서상원,임종윤,정진오,천호진,오현경,권태원,김기천"
"내 머리 속의 지우개",2004-11-05,11919939500,11919939500,1885827,1885827,206,29532,"(주)싸이더스","CJ ENM","12세관람가","멜로/로맨스","이재한","정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식"
"귀신이 산다",2004-09-17,11898748500,11898748500,1875936,1875936,174,27936,"(주)시네마서비스","(주)시네마서비스","12세관람가","코미디,공포(호러),판타지","김상진","김응수,장서희,차승원,김서현,최기웅,유대현,김성미,태인호,임상란,장승현,김정우,김양진,이종화,박성웅,장항선,윤문식,오정세,황석정,윤제문,이도겸,이미은"
"댄서의 순정",2005-04-28,11674131000,11674131000,1856759,1856759,240,36482,"(주)컬처캡미디어","쇼이스트(주)","12세관람가","드라마","박영훈","박건형,김은경,문근영,김지영,임진승,최진석,박현규,김병일,류지원,이혜정,김인희,이정희,이대연,우기홍,정인기"
"우리 형",2004-10-08,11090682500,11090682500,1778607,1778607,211,29282,"(주)진인사필름","CJ ENM","15세관람가","드라마","안권태","원빈,조성제,신하균,김해숙,김석,김정태,이보영,박인혜,김범기,이상직,조진웅,정호빈,김광규"
"실미도",2003-12-24,9905232500,10923920500,1559134,1719165,51,13460,"(주)시네마서비스","(주)시네마서비스","15세관람가","전쟁","강우석","설경구,안성기,허준호,정재영,임원희,강성진,강신일,이도겸,엄태웅,김강우,이효정,석재승,김문희,신성호,최진,심정운,박진수,주경탁,백성기,김봉식,최명규,전병윤,유상섭,이성원,임경호,김진휘,윤효석,이경근,조민준,류제승"
"잠복근무",2005-03-17,9590415500,9590415500,1533175,1533175,214,32266,"(주)마인엔터테인먼트 ,시리우스픽쳐스(주)","(주)쇼박스","15세관람가","코미디,액션","박광춘","김원진,공유,김선아,하정우,이범수,남상미,강경희,김회근,신경하,김명조,홍수아,박우규,김현진,황의천,나상문,남경화,조한영,진수애,김덕겸,최미진,장지영,박상현,윤지원,정은미,양은성,김종명,안형준,김지숙,김지우,김상호,박상면,김선영,정만식"
"연애의 목적",2005-06-10,9846423390,9846423390,1524898,1524898,243,29871,"(주)싸이더스","CJ ENM","18세관람가","드라마,코미디,멜로/로맨스","한재림","강혜정,박해일,이대연,박그리나,이현정,박준명,박혜영,김기형,장준영,이은숙,박진우,서영화,우기홍,김자영"
"주먹이 운다(Crying Fist)",2005-04-01,9322812000,9322812000,1462972,1462972,249,32964,"(주)브라보엔터테인먼트,시오필름(주)","쇼이스트(주)","15세관람가","드라마","류승완","최민식,류승범,임원희,변희봉,나문희,기주봉,오달수,심재원,권용덕,서혜린(정희숙),정민혁,김영인,이윤선,이정현,김병옥,안길강,천호진,김성훈,이원석,박대희,김지훈,김수현,이태준,김효정,김효선,황재근,양민석,이도겸,박준면,정인기,김기천"
"바람의 파이터",2004-08-12,9158945500,9158945500,1442299,1442299,110,15895,"아이비젼엔터테인먼트(주)","영화사청어람(주)","12세관람가","액션","양윤호","양동근,히라야마 아야,허명행,정두홍,송혁재,주경탁,김대우,김규현,이호식,김순재,김영주,양길영,이경원,정태우,이한솔,염혜란,한이진"
"야수와 미녀",2005-10-27,8378297000,8378297000,1339833,1339833,202,29101,"시오필름(주)","(주)쇼박스","12세관람가","코미디","이계벽","류승범,신민아,김강우,허명행,손정민,송민석,김원중,조주현,안성진,서승억,차재선,박근석,박대희,윤종신,이홍표,권성환,최인경,김주일,이정필,김병옥,함은정,안길강,유다인"
