"감독_배우","점수"
"강우석_정재영",0
"강우석_강신일",1
"강우석_유해진",2
"강우석_탁트인",1
"강우석_이상현",1
"강우석_김윤성",1
"강우석_이재원",1
"강우석_조한영",1
"강우석_박창용",1
"강우석_김율호",-1
"강우석_차승원",-1
"강우석_유준상",-1
"강우석_김인권",-1
"강우석_남지현",-1
"강우석_신동미",-1
"강우석_남경읍",-1
"강우석_태인호",-1
"강우석_공형진",-1
"강우석_김종수",-1
"강우석_설경구",-1
"강우석_정준호",0
"강우석_강경덕",0
"강우석_박웅",0
"강우석_홍지연",0
"강우석_전미애",0
"강우석_박태수",0
"강우석_남성훈",0
"강우석_김미경",-1
"강우석_김혜성",-1
"강우석_유선",0
"강우석_조진웅",-1
"강우석_장기범",-1
"강우석_이현우",-1
"강우석_김경호",-1
"강우석_조찬형",-1
"강우석_안성기",0
"강우석_허준호",0
"강우석_임원희",-1
"강우석_강성진",-1
"강우석_이도겸",-1
"강우석_엄태웅",-1
"강우석_김강우",-1
"강우석_박해일",1
"강우석_김상호",1
"강우석_김준배",1
"강우석_이철민",1
"강우석_황정민",-1
"강우석_이요원",-1
"강우석_윤제문",-1
"강우석_정웅인",-1
"강우석_성지루",-1
"강우석_지우",-1
"강우석_장영주",-1
"강우석_장임태",-1
"강우석_장준석",-1
"강우석_조재현",1
"강우석_차인표",1
"강우석_문성근",1
"강우석_김응수",1
"강우석_김광일",1
"강우석_최종원",1
"강우석_최정우",1
"강우석_최창석",1
"강형철_차태현",1
"강형철_박보영",1
"강형철_왕석현",1
"강형철_임지규",1
"강형철_황우슬혜",1
"강형철_정원중",1
"강형철_김기방",1
"강형철_김혜진",1
"강형철_노수정",1
"강형철_류수경",1
"강형철_도경수",-1
"강형철_박혜수",-1
"강형철_자레드 그라임스",-1
"강형철_오정세",0
"강형철_김민호",-1
"강형철_강성호",-1
"강형철_고창희",-1
"강형철_김건우",-1
"강형철_김동현",-1
"강형철_김민재",-1
"강형철_유호정",1
"강형철_심은경",0
"강형철_강소라",0
"강형철_고수희",1
"강형철_홍진희",0
"강형철_강지원",1
"강형철_김민영",0
"강형철_김선경",0
"강형철_진희경",0
"강형철_김보미",0
"강형철_민효린",-1
"강형철_이연경",-1
"강형철_최승현",1
"강형철_신세경",1
"강형철_곽도원",1
"강형철_유해진",1
"강형철_김윤석",1
"강형철_이하늬",1
"강형철_김인권",1
"강형철_이경영",1
"김성훈_이재남",1
"김성훈_현빈",0
"김성훈_유해진",1
"김성훈_김주혁",1
"김성훈_장영남",1
"김성훈_이해영",1
"김성훈_임윤아",1
"김성훈_이동휘",1
"김성훈_박형수",1
"김성훈_서은지",1
"김성훈_이선균",1
"김성훈_조진웅",1
"김성훈_신정근",1
"김성훈_정만식",0
"김성훈_신동미",1
"김성훈_김동영",1
"김성훈_박보검",1
"김성훈_박진성",1
"김성훈_정하철",1
"김성훈_윤종현",1
"김성훈_김래원",-1
"김성훈_지대한",-1
"김성훈_이성민",-1
"김성훈_조안",-1
"김성훈_이광수",-1
"김성훈_이청미",-1
"김성훈_이효선",-1
"김성훈_조선아",-1
"김성훈_최지연",-1
"김성훈_김원해",-1
"김성훈_백윤식",-1
"김성훈_이혜영",-1
"김성훈_봉태규",-1
"김성훈_박재현",-1
"김성훈_김도연",-1
"김성훈_홍성민",-1
"김성훈_조우진",-2
"김성훈_황인옥",-1
"김성훈_한승룡",-1
"김성훈_문제수",-1
"김성훈_장유화",-1
"김성훈_장동건",-1
"김성훈_이선빈",-1
"김성훈_김의성",-1
"김성훈_조달환",-1
"김성훈_박진우",-1
"김성훈_서지혜",-1
"김성훈_하정우",1
"김성훈_배두나",1
"김성훈_오달수",1
"김성훈_김종수",1
"김성훈_임한빈",1
"김성훈_정민희",1
"김성훈_송민석",1
"김성훈_윤성민",1
"김성훈_이동진",1
"김성훈_이상희",1
"윤종빈_황정민",1
"윤종빈_이성민",2
"윤종빈_조진웅",3
"윤종빈_주지훈",1
"윤종빈_김대현",1
"윤종빈_이경호",1
"윤종빈_이기용",1
"윤종빈_이동희",1
"윤종빈_이상원",1
"윤종빈_이상현",1
"윤종빈_하정우",1
"윤종빈_강동원",1
"윤종빈_최귀화",1
"윤종빈_마동석",2
"윤종빈_윤지혜",1
"윤종빈_정만식",1
"윤종빈_김성균",2
"윤종빈_김재영",1
"윤종빈_최민식",1
"윤종빈_곽도원",1
"윤종빈_박성광",1
"윤종빈_이철민",1
"윤종빈_임자연",1
"윤종빈_임헌호",1
"윤종빈_서장원",-1
"윤종빈_윤종빈",-1
"윤종빈_손상범",-1
"윤종빈_한승주",-1
"윤종빈_서민교",-1
"윤종빈_구성모",-1
"윤종빈_이영기",-1
"윤종빈_이혜민",-1
"윤종빈_윤부희",-1
"이석훈_황정민",2
"이석훈_엄정화",1
"이석훈_정성화",1
"이석훈_오나라",1
"이석훈_박정민",1
"이석훈_박사랑",1
"이석훈_임호걸",1
"이석훈_정원영",1
"이석훈_이정건",1
"이석훈_안은정",1
"이석훈_봉태규",-2
"이석훈_정려원",-1
"이석훈_진태현",-2
"이석훈_김혜옥",-1
"이석훈_이영아",-1
"이석훈_강병조",-1
"이석훈_조달환",-1
"이석훈_임성찬",-1
"이석훈_임형국",-1
"이석훈_이혜은",-1
"이석훈_최은주",-1
"이석훈_정대훈",-1
"이석훈_조민주",-1
"이석훈_채현주",-1
"이석훈_유지혁",-1
"이석훈_최수진",-1
"이석훈_김정수",-1
"이석훈_이용규",-1
"이석훈_김남길",1
"이석훈_손예진",1
"이석훈_유해진",1
"이석훈_김대윤",1
"이석훈_이경영",1
"이석훈_오달수",1
"이석훈_김태우",1
"이석훈_박철민",1
"이석훈_신정근",1
"이석훈_김원해",2
"이석훈_정우",1
"이석훈_조성하",1
"이석훈_김인권",1
"이석훈_라미란",1
"이석훈_이해영",1
"이석훈_전배수",1
"이석훈_정유미",1
"이석훈_유선",1
"황동혁_이병헌",1
"황동혁_김윤석",1
"황동혁_박해일",1
"황동혁_고수",1
"황동혁_박희순",1
"황동혁_조우진",1
"황동혁_박주운",1
"황동혁_박지원",1
"황동혁_백동현",1
"황동혁_서병철",1
"황동혁_정유미",1
"황동혁_공유",1
"황동혁_허재호",1
"황동혁_송은정",1
"황동혁_임현성",1
"황동혁_최진호",1
"황동혁_박진우",1
"황동혁_이금용",1
"황동혁_배정민",1
"황동혁_김봉화",1
"황동혁_김영철",-1
"황동혁_다니엘 헤니",-1
"황동혁_안석환",-1
"황동혁_최정원",-1
"황동혁_김인권",-1
"황동혁_송수연",-1
"황동혁_김희준",-1
"황동혁_이태금",-1
"황동혁_이건문",-1
"황동혁_최창환",-1
"황동혁_심은경",1
"황동혁_나문희",1
"황동혁_박인환",1
"황동혁_성동일",1
"황동혁_이진욱",1
"황동혁_김현숙",1
"황동혁_황정민",1
"황동혁_김슬기",1
"황동혁_박형우",1
"황동혁_신재훈",1
"김병서_설경구",1
"김병서_서지원",1
"김병서_정우성",1
"김병서_한효주",1
"김병서_진경",1
"김병서_이준호",1
"김병서_임달화",1
"김병서_손민석",1
"김병서_김대진",1
"김병서_이태형",1
"김병서_이병헌",1
"김병서_하정우",1
"김병서_마동석",1
"김병서_전혜진",1
"김병서_배수지",1
"김병서_손성찬",1
"김병서_서명찬",1
"김병서_양지수",1
"김병서_박준영",1
"김병서_양대혁",1
"김석윤_예지원",-1
"김석윤_최찬숙",-1
"김석윤_지현우",-1
"김석윤_김지영",-1
"김석윤_김혜옥",-1
"김석윤_김호준",-1
"김석윤_안몽식",-1
"김석윤_나현준",-1
"김석윤_백수진",-1
"김석윤_전우형",-1
"김석윤_김명민",2
"김석윤_김호연",1
"김석윤_한지민",1
"김석윤_오달수",2
"김석윤_김영훈",1
"김석윤_백성기",1
"김석윤_지승현",1
"김석윤_류현상",1
"김석윤_김경화",1
"김석윤_김탁호",1
"김석윤_이연희",1
"김석윤_강다현",1
"김석윤_전건익",1
"김석윤_정명철",1
"김석윤_박지선",1
"김석윤_배영민",1
"김석윤_정혜은",1
"김석윤_조관우",1
"김석윤_김지원",0
"김석윤_김범",0
"김석윤_이민기",0
"김석윤_지웅배",0
"김석윤_이대현",0
"김석윤_이소희",0
"김석윤_이재웅",0
"김석윤_백승진",0
"김용화_하정우",2
"김용화_성동일",-1
"김용화_김지석",0
"김용화_김동욱",2
"김용화_최재환",1
"김용화_이재응",1
"김용화_이은성",1
"김용화_이한위",1
"김용화_이혜숙",1
"김용화_김지영",1
"김용화_김아중",1
"김용화_주진모",1
"김용화_김현숙",1
"김용화_신미영",1
"김용화_김원",1
"김용화_조아영",1
"김용화_신정원",1
"김용화_차원호",1
"김용화_원동연",1
"김용화_이보라",1
"김용화_서교",-1
"김용화_이훈민",-1
"김용화_임동욱",-1
"김용화_임승묵",-1
"김용화_임왕섭",-1
"김용화_천재성",-1
"김용화_최인호",-1
"김용화_박정훈",-1
"김용화_배지현",-1
"김용화_주지훈",2
"김용화_김향기",2
