"주연","횟수","점수","평균점수"
"하정우",15,50,3.33333333333333
"송강호",11,42,3.81818181818182
"오달수",11,40,3.63636363636364
"유해진",13,39,3
"황정민",13,38,2.92307692307692
"김윤석",12,30,2.5
"류승룡",8,30,3.75
"강동원",9,27,3
"마동석",10,26,2.6
"이병헌",8,25,3.125
"이정재",8,25,3.125
"조진웅",10,23,2.3
"설경구",9,21,2.33333333333333
"박해일",6,17,2.83333333333333
"정우성",7,17,2.42857142857143
"류준열",5,16,3.2
"주지훈",5,16,3.2
"곽도원",5,15,3
"김동욱",4,15,3.75
"김혜수",5,15,3
"성동일",5,14,2.8
"전지현",3,14,4.66666666666667
"정진영",4,14,3.5
"차태현",4,14,3.5
"최민식",5,14,2.8
"백윤식",5,13,2.6
"손예진",5,13,2.6
"유아인",4,13,3.25
"정재영",7,13,1.85714285714286
"조정석",5,13,2.6
"박희순",6,12,2
"고창석",6,11,1.83333333333333
"공유",4,11,2.75
"김주혁",5,11,2.2
"김향기",3,11,3.66666666666667
"안성기",5,11,2.2
"이선균",5,11,2.2
"이하늬",4,11,2.75
"조승우",5,11,2.2
"고아성",3,10,3.33333333333333
"김명민",5,10,2
"김아중",4,10,2.5
"한효주",4,10,2.5
"김남길",4,9,2.25
"김무열",3,9,3
"김수현",2,9,4.5
"김우빈",4,9,2.25
"김윤진",4,9,2.25
"나문희",4,9,2.25
"문정희",3,9,3
"박보영",3,9,3
"박신혜",4,9,2.25
"배두나",2,9,4.5
"심은경",3,9,3
"엄정화",4,9,2.25
"이정현",2,9,4.5
"이준기",2,9,4.5
"이현우",4,9,2.25
"김상경",3,8,2.66666666666667
"김영애",2,8,4
"류승범",4,8,2
"손현주",3,8,2.66666666666667
"송중기",2,8,4
"이범수",4,8,2
"조여정",4,8,2
"조인성",3,8,2.66666666666667
"주진모",4,8,2
"하지원",4,8,2
"한석규",4,8,2
"현빈",3,8,2.66666666666667
"김성균",6,7,1.16666666666667
"김정태",2,7,3.5
"민효린",2,7,3.5
"박원상",2,7,3.5
"엄지원",3,7,2.33333333333333
"이경영",2,7,3.5
"이제훈",4,7,1.75
"전혜진",3,7,2.33333333333333
"조우진",3,7,2.33333333333333
"강예원",3,6,2
"강하늘",3,6,2
"고수",4,6,1.5
"권상우",4,6,1.5
"김상중",2,6,3
"김수미",4,6,1.5
"김태리",2,6,3
"김해숙",2,6,3
"배성우",3,6,2
"신하균",3,6,2
"신현준",4,6,1.5
"원빈",3,6,2
"이진욱",3,6,2
"임수정",2,6,3
"최우식",2,6,3
"허준호",3,6,2
"갈소원",1,5,5
"감우성",1,5,5
"강성연",1,5,5
"공명",1,5,5
"김기천",1,5,5
"김래원",3,5,1.66666666666667
"문소리",3,5,1.66666666666667
"문채원",2,5,2.5
"박서준",3,5,1.66666666666667
"박성웅",2,5,2.5
"박정민",4,5,1.25
"박중훈",1,5,5
"변희봉",1,5,5
"소지섭",2,5,2.5
"수지",2,5,2.5
"엄태웅",3,5,1.66666666666667
"유지태",3,5,1.66666666666667
"윤계상",2,5,2.5
"이동휘",1,5,5
"이성민",3,5,1.66666666666667
