"조연","횟수","점수","평균점수"
"송영창",18,149,8.27777777777778
"이경영",18,146,8.11111111111111
"김의성",12,138,11.5
"장광",9,123,13.6666666666667
"오달수",10,118,11.8
"정원중",11,102,9.27272727272727
"주진모",12,97,8.08333333333333
"최덕문",9,95,10.5555555555556
"김민재",10,93,9.3
"김홍파",9,90,10
"김원해",8,88,11
"정인기",11,88,8
"김병옥",11,86,7.81818181818182
"신정근",7,85,12.1428571428571
"조한철",8,82,10.25
"김인권",6,80,13.3333333333333
"김지영",8,80,10
"남일우",6,80,13.3333333333333
"유승목",10,80,8
"김종수",11,79,7.18181818181818
"정규수",10,79,7.9
"엄지성",7,78,11.1428571428571
"박노식",4,75,18.75
"최귀화",7,72,10.2857142857143
"이준혁",9,71,7.88888888888889
"장영남",9,69,7.66666666666667
"권태원",10,68,6.8
"전배수",8,67,8.375
"김구택",4,66,16.5
"엄태구",4,66,16.5
"라미란",8,64,8
"이승준",6,64,10.6666666666667
"정만식",11,64,5.81818181818182
"진경",4,63,15.75
"성병숙",5,62,12.4
"조재윤",5,62,12.4
"이한위",9,61,6.77777777777778
"이해영",7,61,8.71428571428571
"김인우",5,60,12
"예수정",4,60,15
"윤제문",7,60,8.57142857142857
"이동휘",7,60,8.57142857142857
"박철민",8,59,7.375
"정지훈",3,59,19.6666666666667
"송재호",5,58,11.6
"박지환",4,57,14.25
"정해균",5,56,11.2
"조우진",7,56,8
"전국환",7,55,7.85714285714286
"조덕현",7,55,7.85714285714286
"남문철",7,54,7.71428571428571
"배성우",7,54,7.71428571428571
"정석용",4,54,13.5
"주석태",4,54,13.5
"유해진",5,53,10.6
"박혁권",4,51,12.75
"이성민",4,51,12.75
"김길동",3,50,16.6666666666667
"도경수",2,50,25
"심희섭",2,50,25
"임원희",2,50,25
"허정도",2,50,25
"이봉련",4,49,12.25
"김태훈",5,48,9.6
"김시후",4,46,11.5
"엄효섭",5,46,9.2
"고준",4,45,11.25
"김종구",6,45,7.5
"오대환",4,44,11
"최진호",4,44,11
"도용구",5,43,8.6
"박소담",3,43,14.3333333333333
"양현민",3,43,14.3333333333333
"이재구",4,43,10.75
"조진웅",3,43,14.3333333333333
"허성태",7,43,6.14285714285714
"김성균",5,42,8.4
"김슬기",3,42,14
"이호철",3,42,14
"이환",3,42,14
"강태영",2,41,20.5
"고윤",2,41,20.5
"김도윤",2,41,20.5
"김현태",2,41,20.5
"문영동",2,41,20.5
"오정세",8,41,5.125
"오타니 료헤이",2,41,20.5
"정제우",2,41,20.5
"조하석",2,41,20.5
"강신일",9,40,4.44444444444444
"손종학",6,40,6.66666666666667
"박원상",5,39,7.8
"김동영",4,38,9.5
"김응수",4,38,9.5
"서현우",4,38,9.5
"이주실",3,38,12.6666666666667
"전국향",3,38,12.6666666666667
"천보근",3,38,12.6666666666667
"한이진",3,38,12.6666666666667
"박진우",4,37,9.25
"성동일",5,37,7.4
"조현철",4,37,9.25
"김소진",6,36,6
"이철민",7,36,5.14285714285714
"신린아",3,35,11.6666666666667
"이용이",3,35,11.6666666666667
"장명갑",3,35,11.6666666666667
"장준녕",3,35,11.6666666666667
"최정우",5,35,7
"고수희",4,34,8.5
"공정환",3,34,11.3333333333333
"김명곤",2,34,17
"김민상",5,34,6.8
"김상호",7,34,4.85714285714286
"김수안",2,34,17
"김유정",2,34,17
"리민",3,34,11.3333333333333
"민경진",3,34,11.3333333333333
"박병은",2,34,17
"송영규",2,34,17
"임승대",5,34,6.8
"정웅인",4,34,8.5
"최무성",5,34,6.8
"배정남",3,33,11
"이용녀",4,33,8.25
"김중희",2,32,16
"박승태",2,32,16
"박영서",2,32,16
"손병호",2,32,16
"유상재",2,32,16
"이이경",2,32,16
"지대한",5,32,6.4
"허형규",2,32,16
"김대명",5,31,6.2
"안내상",5,31,6.2
"곽자형",4,30,7.5
"권해효",3,30,10
"김승훈",4,30,7.5
"박길수",3,30,10
