"조연","횟수","점수","평균점수"
"송영창",18,47,2.61111111111111
"이경영",18,46,2.55555555555556
"김의성",12,38,3.16666666666667
"장광",9,31,3.44444444444444
"주진모",12,31,2.58333333333333
"오달수",10,30,3
"정원중",11,30,2.72727272727273
"정인기",11,30,2.72727272727273
"김병옥",11,28,2.54545454545455
"김민재",10,27,2.7
"김홍파",9,26,2.88888888888889
"유승목",10,26,2.6
"최덕문",9,25,2.77777777777778
"김종수",11,25,2.27272727272727
"정규수",10,25,2.5
"김원해",8,24,3
"조한철",8,24,3
"권태원",10,24,2.4
"신정근",7,23,3.28571428571429
"김지영",8,22,2.75
"엄지성",7,22,3.14285714285714
"정만식",11,22,2
"이준혁",9,21,2.33333333333333
"장영남",9,21,2.33333333333333
"전배수",8,21,2.625
"이한위",9,21,2.33333333333333
"김인권",6,20,3.33333333333333
"남일우",6,20,3.33333333333333
"최귀화",7,20,2.85714285714286
"라미란",8,20,2.5
"박철민",8,19,2.375
"전국환",7,19,2.71428571428571
"이승준",6,18,3
"윤제문",7,18,2.57142857142857
"이동휘",7,18,2.57142857142857
"조우진",7,18,2.57142857142857
"남문철",7,18,2.57142857142857
"강신일",9,18,2
"박노식",4,17,4.25
"이해영",7,17,2.42857142857143
"조덕현",7,17,2.42857142857143
"김구택",4,16,4
"엄태구",4,16,4
"성병숙",5,16,3.2
"조재윤",5,16,3.2
"김인우",5,16,3.2
"송재호",5,16,3.2
"배성우",7,16,2.28571428571429
"진경",4,15,3.75
"박지환",4,15,3.75
"유해진",5,15,3
"김종구",6,15,2.5
"허성태",7,15,2.14285714285714
"오정세",8,15,1.875
"예수정",4,14,3.5
"정해균",5,14,2.8
"정석용",4,14,3.5
"주석태",4,14,3.5
"김태훈",5,14,2.8
"엄효섭",5,14,2.8
"김성균",5,14,2.8
"손종학",6,14,2.33333333333333
"김소진",6,14,2.33333333333333
"이철민",7,14,2
"김상호",7,14,2
"정지훈",3,13,4.33333333333333
"박혁권",4,13,3.25
"이성민",4,13,3.25
"이봉련",4,13,3.25
"고준",4,13,3.25
"도용구",5,13,2.6
"박원상",5,13,2.6
"성동일",5,13,2.6
"최정우",5,13,2.6
"김길동",3,12,4
"김시후",4,12,3
"오대환",4,12,3
"최진호",4,12,3
"김동영",4,12,3
"김응수",4,12,3
"서현우",4,12,3
"김민상",5,12,2.4
"임승대",5,12,2.4
"최무성",5,12,2.4
"박소담",3,11,3.66666666666667
"양현민",3,11,3.66666666666667
"이재구",4,11,2.75
"조진웅",3,11,3.66666666666667
"박진우",4,11,2.75
"조현철",4,11,2.75
"이용녀",4,11,2.75
"김대명",5,11,2.2
"안내상",5,11,2.2
"진선규",5,11,2.2
"도경수",2,10,5
"심희섭",2,10,5
"임원희",2,10,5
"허정도",2,10,5
"김슬기",3,10,3.33333333333333
"이호철",3,10,3.33333333333333
"이환",3,10,3.33333333333333
"이주실",3,10,3.33333333333333
"전국향",3,10,3.33333333333333
"천보근",3,10,3.33333333333333
"한이진",3,10,3.33333333333333
"고수희",4,10,2.5
"공정환",3,10,3.33333333333333
"리민",3,10,3.33333333333333
"민경진",3,10,3.33333333333333
"정웅인",4,10,2.5
"지대한",5,10,2
"곽자형",4,10,2.5
"김승훈",4,10,2.5
"이다윗",4,10,2.5
"이대연",4,10,2.5
"조영진",4,10,2.5
"차엽",4,10,2.5
"김중기",4,10,2.5
"박수영",4,10,2.5
"박효주",4,10,2.5
"성유빈",4,10,2.5
"마동석",5,10,2
"황정민",6,10,1.66666666666667
"우현",7,10,1.42857142857143
"이미도",6,10,1.66666666666667
"강태영",2,9,4.5
"고윤",2,9,4.5
"김도윤",2,9,4.5
"김현태",2,9,4.5
"문영동",2,9,4.5
"오타니 료헤이",2,9,4.5
"정제우",2,9,4.5
"조하석",2,9,4.5
"신린아",3,9,3
"이용이",3,9,3
"장명갑",3,9,3
"장준녕",3,9,3
"배정남",3,9,3
"김현숙",3,9,3
"박성웅",3,9,3
"박혜진",3,9,3
"김수진",4,9,2.25
"임형준",4,9,2.25
"장유",4,9,2.25
"정민성",4,9,2.25
"박성연",4,9,2.25
"남명렬",4,9,2.25
"최일화",4,9,2.25
"기주봉",5,9,1.8
"김명곤",2,8,4
"김수안",2,8,4
"김유정",2,8,4
"박병은",2,8,4
"송영규",2,8,4
"김중희",2,8,4
"박승태",2,8,4
"박영서",2,8,4
"손병호",2,8,4
"유상재",2,8,4
"이이경",2,8,4
"허형규",2,8,4
